consecutive_number,county,type_of_intersection,light_condition,atmospheric_conditions_1,hour_of_crash,functional_system,related_factors,delay_to_hospital,delay_to_scene,age,person_type,seating_position,restraint,survived,rollover,airbag,alcohol,drugs,related_factors_person_level1,travel_speed,speeding_related,extent_of_damage,body_type,vehicle_removal,manner_of_collision,roadway_surface_condition,first_harmful_event,most_harmful_event
300019,111,Not an Intersection,1,6,14,1,0,2,1,76,1,11,1.0,0,0,0,0,0,0,45,1,Disabling Damage,6,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,42,1,11,1.0,0,0,0,0,0,0,45,1,Disabling Damage,6,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,31,1,11,1.0,0,0,0,0,0,0,45,1,Disabling Damage,6,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,72,1,11,1.0,0,0,1,0,0,0,45,1,Disabling Damage,6,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,23,1,11,1.0,0,0,0,0,0,0,45,1,Disabling Damage,6,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,67,2,13,1.0,1,0,1,0,0,0,45,1,Disabling Damage,6,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,21,2,13,1.0,0,0,0,0,0,0,45,1,Disabling Damage,6,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,76,1,11,1.0,0,0,0,0,0,0,998,0,Disabling Damage,15,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,42,1,11,1.0,0,0,0,0,0,0,998,0,Disabling Damage,15,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,31,1,11,1.0,0,0,0,0,0,0,998,0,Disabling Damage,15,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,72,1,11,1.0,0,0,1,0,0,0,998,0,Disabling Damage,15,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,23,1,11,1.0,0,0,0,0,0,0,998,0,Disabling Damage,15,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,67,2,13,1.0,1,0,1,0,0,0,998,0,Disabling Damage,15,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,21,2,13,1.0,0,0,0,0,0,0,998,0,Disabling Damage,15,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,76,1,11,1.0,0,0,0,0,0,0,0,0,Disabling Damage,6,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,42,1,11,1.0,0,0,0,0,0,0,0,0,Disabling Damage,6,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,31,1,11,1.0,0,0,0,0,0,0,0,0,Disabling Damage,6,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,72,1,11,1.0,0,0,1,0,0,0,0,0,Disabling Damage,6,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,23,1,11,1.0,0,0,0,0,0,0,0,0,Disabling Damage,6,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,67,2,13,1.0,1,0,1,0,0,0,0,0,Disabling Damage,6,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,21,2,13,1.0,0,0,0,0,0,0,0,0,Disabling Damage,6,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,76,1,11,1.0,0,0,0,0,0,0,0,0,Disabling Damage,14,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,42,1,11,1.0,0,0,0,0,0,0,0,0,Disabling Damage,14,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,31,1,11,1.0,0,0,0,0,0,0,0,0,Disabling Damage,14,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,72,1,11,1.0,0,0,1,0,0,0,0,0,Disabling Damage,14,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,23,1,11,1.0,0,0,0,0,0,0,0,0,Disabling Damage,14,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,67,2,13,1.0,1,0,1,0,0,0,0,0,Disabling Damage,14,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,21,2,13,1.0,0,0,0,0,0,0,0,0,Disabling Damage,14,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,76,1,11,1.0,0,0,0,0,0,0,45,1,Disabling Damage,66,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,42,1,11,1.0,0,0,0,0,0,0,45,1,Disabling Damage,66,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,31,1,11,1.0,0,0,0,0,0,0,45,1,Disabling Damage,66,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,72,1,11,1.0,0,0,1,0,0,0,45,1,Disabling Damage,66,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,23,1,11,1.0,0,0,0,0,0,0,45,1,Disabling Damage,66,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,67,2,13,1.0,1,0,1,0,0,0,45,1,Disabling Damage,66,Towed Due to Disabling Damage,1,1,12,12
300019,111,Not an Intersection,1,6,14,1,0,2,1,21,2,13,1.0,0,0,0,0,0,0,45,1,Disabling Damage,66,Towed Due to Disabling Damage,1,1,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,67,1,11,1.0,0,0,1,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,44,1,11,1.0,0,0,0,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,40,1,11,1.0,0,0,0,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,41,1,11,1.0,0,0,1,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,52,1,11,1.0,0,0,0,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,38,1,11,1.0,0,0,0,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,45,1,11,1.0,0,0,0,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,56,2,13,1.0,1,0,1,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,10,2,22,1.0,0,0,0,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,41,2,13,1.0,0,0,0,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,5,2,21,0.5,0,0,0,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,6,2,23,0.5,0,0,0,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,27,2,50,1.0,0,0,0,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,28,2,50,0.5,0,0,0,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,43,2,50,0.5,0,0,0,0,0,0,0,0,Minor Damage,4,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,67,1,11,1.0,0,0,1,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,44,1,11,1.0,0,0,0,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,40,1,11,1.0,0,0,0,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,41,1,11,1.0,0,0,1,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,52,1,11,1.0,0,0,0,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,38,1,11,1.0,0,0,0,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,45,1,11,1.0,0,0,0,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,56,2,13,1.0,1,0,1,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,10,2,22,1.0,0,0,0,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,41,2,13,1.0,0,0,0,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,5,2,21,0.5,0,0,0,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,6,2,23,0.5,0,0,0,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,27,2,50,1.0,0,0,0,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,28,2,50,0.5,0,0,0,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,43,2,50,0.5,0,0,0,0,0,0,35,0,Disabling Damage,4,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,67,1,11,1.0,0,0,1,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,44,1,11,1.0,0,0,0,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,40,1,11,1.0,0,0,0,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,41,1,11,1.0,0,0,1,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,52,1,11,1.0,0,0,0,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,38,1,11,1.0,0,0,0,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,45,1,11,1.0,0,0,0,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,56,2,13,1.0,1,0,1,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,10,2,22,1.0,0,0,0,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,41,2,13,1.0,0,0,0,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,5,2,21,0.5,0,0,0,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,6,2,23,0.5,0,0,0,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,27,2,50,1.0,0,0,0,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,28,2,50,0.5,0,0,0,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,43,2,50,0.5,0,0,0,0,0,0,0,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,67,1,11,1.0,0,0,1,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,44,1,11,1.0,0,0,0,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,40,1,11,1.0,0,0,0,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,41,1,11,1.0,0,0,1,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,52,1,11,1.0,0,0,0,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,38,1,11,1.0,0,0,0,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,45,1,11,1.0,0,0,0,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,56,2,13,1.0,1,0,1,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,10,2,22,1.0,0,0,0,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,41,2,13,1.0,0,0,0,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,5,2,21,0.5,0,0,0,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,6,2,23,0.5,0,0,0,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,27,2,50,1.0,0,0,0,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,28,2,50,0.5,0,0,0,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,43,2,50,0.5,0,0,0,0,0,0,0,0,Minor Damage,66,Not Towed,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,67,1,11,1.0,0,0,1,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,44,1,11,1.0,0,0,0,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,40,1,11,1.0,0,0,0,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,41,1,11,1.0,0,0,1,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,52,1,11,1.0,0,0,0,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,38,1,11,1.0,0,0,0,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,45,1,11,1.0,0,0,0,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,56,2,13,1.0,1,0,1,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,10,2,22,1.0,0,0,0,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,41,2,13,1.0,0,0,0,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,5,2,21,0.5,0,0,0,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,6,2,23,0.5,0,0,0,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,27,2,50,1.0,0,0,0,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,28,2,50,0.5,0,0,0,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,43,2,50,0.5,0,0,0,0,0,0,35,0,Functional Damage,66,Unknown,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,67,1,11,1.0,0,0,1,0,0,0,40,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,44,1,11,1.0,0,0,0,0,0,0,40,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,40,1,11,1.0,0,0,0,0,0,0,40,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,41,1,11,1.0,0,0,1,0,0,0,40,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,52,1,11,1.0,0,0,0,0,0,0,40,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,38,1,11,1.0,0,0,0,0,0,0,40,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,45,1,11,1.0,0,0,0,0,0,0,40,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,56,2,13,1.0,1,0,1,0,0,0,40,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,10,2,22,1.0,0,0,0,0,0,0,40,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,41,2,13,1.0,0,0,0,0,0,0,40,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,5,2,21,0.5,0,0,0,0,0,0,40,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,6,2,23,0.5,0,0,0,0,0,0,40,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,27,2,50,1.0,0,0,0,0,0,0,40,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
390099,171,Not an Intersection,1,7,11,1,27,1,1,28,2,50,0.5,0,0,0,0,0,0,40,0,Disabling Damage,66,Towed Due to Disabling Damage,1,3,12,12
